timestamp,motor_1,motor_2,motor_3,motor_4,motor_5,motor_6
1658377177.7674906,99.0,598.0,72.0,601.0,304.0,942.0
1658377179.7809374,436.0,595.0,104.0,603.0,308.0,939.0
1658377181.79574,436.0,504.0,103.0,543.0,463.0,507.0
1658377183.808055,436.0,504.0,103.0,636.0,350.0,506.0
1658377185.8686943,27.0,504.0,104.0,636.0,349.0,507.0
